Locus	Sense	Start	End	Size	Length	Gene
SCCmec_CP000703-Type-II_00001	(+)	1	480	479	159	orfX
SCCmec_CP000703-Type-II_00002	(+)	763	2058	1295	431	NN
SCCmec_CP000703-Type-II_00003	(+)	2473	2712	239	79	NN
SCCmec_CP000703-Type-II_00004	(-)	2744	3418	674	224	IS431
SCCmec_CP000703-Type-II_00005	(+)	3683	4426	743	247	NN
SCCmec_CP000703-Type-II_00006	(+)	4523	4951	428	142	NN
SCCmec_CP000703-Type-II_00007	(-)	4997	7003	2006	668	mecA
SCCmec_CP000703-Type-II_00008	(+)	7205	8860	1655	551	mecR1
SCCmec_CP000703-Type-II_00009	(+)	8860	9231	371	123	MecI
SCCmec_CP000703-Type-II_00010	(+)	9332	9544	212	70	NN
SCCmec_CP000703-Type-II_00011	(+)	9739	10848	1109	369	NN
SCCmec_CP000703-Type-II_00012	(-)	10962	11267	305	101	NN
SCCmec_CP000703-Type-II_00013	(-)	11358	12296	938	312	NN
SCCmec_CP000703-Type-II_00014	(-)	12329	13393	1064	354	NN
SCCmec_CP000703-Type-II_00015	(+)	13529	13789	260	86	NN
SCCmec_CP000703-Type-II_00016	(+)	13804	14433	629	209	NN
SCCmec_CP000703-Type-II_00017	(-)	14772	15434	662	220	NN
SCCmec_CP000703-Type-II_00018	(+)	15930	16661	731	243	NN
SCCmec_CP000703-Type-II_00019	(-)	16787	17569	782	260	NN
SCCmec_CP000703-Type-II_00020	(-)	17720	18097	377	125	NN
SCCmec_CP000703-Type-II_00021	(-)	18104	19996	1892	630	NN
SCCmec_CP000703-Type-II_00022	(-)	19993	21078	1085	361	NN
SCCmec_CP000703-Type-II_00023	(-)	21197	21514	317	105	NN
SCCmec_CP000703-Type-II_00024	(-)	21535	22041	506	168	NN
SCCmec_CP000703-Type-II_00025	(-)	22059	22370	311	103	NN
SCCmec_CP000703-Type-II_00026	(-)	22457	22807	350	116	NN
SCCmec_CP000703-Type-II_00027	(-)	23325	24953	1628	542	ccrB2
SCCmec_CP000703-Type-II_00028	(-)	24975	26342	1367	455	ccrA2
SCCmec_CP000703-Type-II_00029	(-)	26558	28351	1793	597	NN
SCCmec_CP000703-Type-II_00030	(-)	28351	28647	296	98	NN
SCCmec_CP000703-Type-II_00031	(-)	28840	29886	1046	348	NN
SCCmec_CP000703-Type-II_00032	(-)	30137	30559	422	140	NN
SCCmec_CP000703-Type-II_00033	(-)	30626	30979	353	117	NN
SCCmec_CP000703-Type-II_00034	(-)	30964	31278	314	104	NN
SCCmec_CP000703-Type-II_00035	(-)	31789	32691	902	300	NN
SCCmec_CP000703-Type-II_00036	(-)	33437	34132	695	231	NN
SCCmec_CP000703-Type-II_00037	(-)	34107	36827	2720	906	NN
SCCmec_CP000703-Type-II_00038	(-)	36828	36971	143	47	NN
SCCmec_CP000703-Type-II_00039	(+)	37044	38720	1676	558	NN
SCCmec_CP000703-Type-II_00040	(+)	38739	40760	2021	673	NN
SCCmec_CP000703-Type-II_00041	(+)	40776	41333	557	185	NN
SCCmec_CP000703-Type-II_00042	(-)	41878	42747	869	289	NN
SCCmec_CP000703-Type-II_00043	(-)	42757	43653	896	298	NN
SCCmec_CP000703-Type-II_00044	(-)	43853	44227	374	124	NN
SCCmec_CP000703-Type-II_00045	(-)	44395	44682	287	95	NN
SCCmec_CP000703-Type-II_00046	(-)	44772	45398	626	208	NN
SCCmec_CP000703-Type-II_00047	(+)	45513	47021	1508	502	NN
