Locus	Sense	Start	End	Size	Length	Gene
SCCmec_AB505630_Type-X_00001	(+)	1	480	479	159	orfX
SCCmec_AB505630_Type-X_00002	(+)	546	1322	776	258	NN
SCCmec_AB505630_Type-X_00003	(+)	1694	2077	383	127	NN
SCCmec_AB505630_Type-X_00004	(+)	2089	2721	632	210	NN
SCCmec_AB505630_Type-X_00005	(-)	2916	3251	335	111	NN
SCCmec_AB505630_Type-X_00006	(-)	3265	4554	1289	429	NN
SCCmec_AB505630_Type-X_00007	(-)	4554	4871	317	105	NN
SCCmec_AB505630_Type-X_00008	(+)	5001	5675	674	224	IS431
SCCmec_AB505630_Type-X_00009	(+)	5851	7857	2006	668	mecA
SCCmec_AB505630_Type-X_00010	(-)	7903	8331	428	142	NN
SCCmec_AB505630_Type-X_00011	(-)	8428	9171	743	247	NN
SCCmec_AB505630_Type-X_00012	(-)	9880	10110	230	76	NN
SCCmec_AB505630_Type-X_00013	(-)	10208	10375	167	55	NN
SCCmec_AB505630_Type-X_00014	(+)	10633	11307	674	224	IS431
SCCmec_AB505630_Type-X_00015	(+)	11461	11721	260	86	NN
SCCmec_AB505630_Type-X_00016	(+)	11694	12401	707	235	NN
SCCmec_AB505630_Type-X_00017	(+)	12479	12829	350	116	NN
SCCmec_AB505630_Type-X_00018	(+)	12816	13859	1043	347	NN
SCCmec_AB505630_Type-X_00019	(-)	14319	14540	221	73	NN
SCCmec_AB505630_Type-X_00020	(-)	14554	15057	503	167	NN
SCCmec_AB505630_Type-X_00021	(-)	15072	15383	311	103	NN
SCCmec_AB505630_Type-X_00022	(-)	15376	15477	101	33	NN
SCCmec_AB505630_Type-X_00023	(-)	15479	15817	338	112	NN
SCCmec_AB505630_Type-X_00024	(-)	16456	17913	1457	485	ccrB1
SCCmec_AB505630_Type-X_00025	(-)	17935	19284	1349	449	ccrA1
SCCmec_AB505630_Type-X_00026	(-)	19462	19719	257	85	NN
SCCmec_AB505630_Type-X_00027	(-)	19784	21574	1790	596	NN
SCCmec_AB505630_Type-X_00028	(-)	21574	21723	149	49	NN
SCCmec_AB505630_Type-X_00029	(-)	21906	22895	989	329	NN
SCCmec_AB505630_Type-X_00030	(+)	23085	23249	164	54	NN
SCCmec_AB505630_Type-X_00031	(-)	23704	24051	347	115	NN
SCCmec_AB505630_Type-X_00032	(+)	24129	24812	683	227	NN
SCCmec_AB505630_Type-X_00033	(+)	24834	25499	665	221	NN
SCCmec_AB505630_Type-X_00034	(+)	25503	26507	1004	334	NN
SCCmec_AB505630_Type-X_00035	(+)	26516	26881	365	121	NN
SCCmec_AB505630_Type-X_00036	(+)	27419	28036	617	205	NN
SCCmec_AB505630_Type-X_00037	(+)	28055	28396	341	113	NN
SCCmec_AB505630_Type-X_00038	(-)	28977	30128	1151	383	NN
SCCmec_AB505630_Type-X_00039	(-)	30258	30827	569	189	NN
SCCmec_AB505630_Type-X_00040	(-)	30847	31419	572	190	NN
SCCmec_AB505630_Type-X_00041	(-)	31752	32588	836	278	NN
SCCmec_AB505630_Type-X_00042	(-)	32611	33102	491	163	NN
SCCmec_AB505630_Type-X_00043	(+)	33346	33657	311	103	NN
SCCmec_AB505630_Type-X_00044	(+)	33853	34053	200	66	NN
SCCmec_AB505630_Type-X_00045	(+)	34176	34370	194	64	NN
SCCmec_AB505630_Type-X_00046	(-)	34731	35684	953	317	NN
SCCmec_AB505630_Type-X_00047	(-)	35751	36122	371	123	NN
SCCmec_AB505630_Type-X_00048	(-)	36155	37564	1409	469	NN
SCCmec_AB505630_Type-X_00049	(+)	37701	38486	785	261	NN
SCCmec_AB505630_Type-X_00050	(+)	38517	39089	572	190	NN
SCCmec_AB505630_Type-X_00051	(-)	39271	39447	176	58	NN
SCCmec_AB505630_Type-X_00052	(+)	39557	39670	113	37	NN
SCCmec_AB505630_Type-X_00053	(+)	39648	39995	347	115	NN
SCCmec_AB505630_Type-X_00054	(+)	40230	40397	167	55	NN
SCCmec_AB505630_Type-X_00055	(+)	40673	41047	374	124	NN
SCCmec_AB505630_Type-X_00056	(-)	41129	42457	1328	442	NN
SCCmec_AB505630_Type-X_00057	(-)	42476	43546	1070	356	NN
SCCmec_AB505630_Type-X_00058	(+)	43686	43946	260	86	NN
SCCmec_AB505630_Type-X_00059	(+)	43943	44701	758	252	NN
SCCmec_AB505630_Type-X_00060	(-)	44763	45161	398	132	NN
SCCmec_AB505630_Type-X_00061	(-)	45175	46464	1289	429	NN
SCCmec_AB505630_Type-X_00062	(-)	46464	46781	317	105	NN
SCCmec_AB505630_Type-X_00063	(+)	47050	49110	2060	686	NN
SCCmec_AB505630_Type-X_00064	(+)	49125	50558	1433	477	NN
SCCmec_AB505630_Type-X_00065	(+)	50578	51060	482	160	NN
