Locus	Sense	Start	End	Size	Length	Gene
sccmec_Sa3923_00001	(+)	1	480	479	159	orfX
sccmec_Sa3923_00002	(+)	802	2058	1256	418	NN
sccmec_Sa3923_00003	(+)	2243	2344	101	33	NN
sccmec_Sa3923_00004	(-)	2583	3257	674	224	IS431
sccmec_Sa3923_00005	(+)	3515	3682	167	55	NN
sccmec_Sa3923_00006	(+)	3780	4010	230	76	NN
sccmec_Sa3923_00007	(+)	4559	5302	743	247	NN
sccmec_Sa3923_00008	(+)	5399	5827	428	142	NN
sccmec_Sa3923_00009	(-)	5873	7879	2006	668	mecA
sccmec_Sa3923_00010	(+)	7979	8965	986	328	mecR1-Truncated
sccmec_Sa3923_00011	(+)	8925	9197	272	90	NN
sccmec_Sa3923_00012	(-)	9188	9793	605	201	NN
sccmec_Sa3923_00013	(-)	9905	10711	806	268	IS1272-Truncated
sccmec_Sa3923_00014	(-)	10847	11353	506	168	NN
sccmec_Sa3923_00015	(-)	11368	11679	311	103	NN
sccmec_Sa3923_00016	(-)	11766	12116	350	116	NN
sccmec_Sa3923_00017	(-)	12617	14245	1628	542	ccrB4
sccmec_Sa3923_00018	(-)	14242	15603	1361	453	ccrA4
sccmec_Sa3923_00019	(-)	15790	16404	614	204	NN
sccmec_Sa3923_00020	(+)	16787	16930	143	47	NN
sccmec_Sa3923_00021	(-)	16878	17237	359	119	NN
sccmec_Sa3923_00022	(+)	17444	17770	326	108	NN
sccmec_Sa3923_00023	(+)	17873	17971	98	32	NN
sccmec_Sa3923_00024	(+)	18100	20025	1925	641	NN
sccmec_Sa3923_00025	(+)	21199	22014	815	271	NN
sccmec_Sa3923_00026	(-)	22274	22669	395	131	NN
sccmec_Sa3923_00027	(-)	22682	22819	137	45	NN
sccmec_Sa3923_00028	(+)	22980	23846	866	288	NN
sccmec_Sa3923_00029	(+)	23860	24981	1121	373	NN
sccmec_Sa3923_00030	(+)	24947	25558	611	203	NN
sccmec_Sa3923_00031	(+)	25639	26304	665	221	NN
sccmec_Sa3923_00032	(+)	26292	27383	1091	363	NN
sccmec_Sa3923_00033	(+)	28319	29680	1361	453	NN
sccmec_Sa3923_00034	(-)	29742	29957	215	71	NN
sccmec_Sa3923_00035	(+)	30224	30709	485	161	NN
sccmec_Sa3923_00036	(+)	31133	33193	2060	686	NN
sccmec_Sa3923_00037	(+)	33208	34641	1433	477	NN
sccmec_Sa3923_00038	(+)	34661	35143	482	160	NN
