Locus	Sense	Start	End	Size	Length	Gene
SCCmec_EU437549_00001	(+)	1	480	479	159	orfX
SCCmec_EU437549_00002	(+)	763	2058	1295	431	NN
SCCmec_EU437549_00003	(+)	2473	2712	239	79	NN
SCCmec_EU437549_00004	(-)	2744	3418	674	224	IS431
SCCmec_EU437549_00005	(-)	3509	3706	197	65	NN
SCCmec_EU437549_00006	(-)	3719	4513	794	264	NN
SCCmec_EU437549_00007	(+)	4666	4755	89	29	NN
SCCmec_EU437549_00008	(-)	4737	5999	1262	420	NN
SCCmec_EU437549_00009	(-)	6506	6904	398	132	NN
SCCmec_EU437549_00010	(-)	7127	7801	674	224	NN
SCCmec_EU437549_00011	(-)	7755	7898	143	47	NN
SCCmec_EU437549_00012	(-)	8091	8765	674	224	IS431
SCCmec_EU437549_00013	(+)	8809	9126	317	105	NN
SCCmec_EU437549_00014	(-)	9172	11178	2006	668	mecA
SCCmec_EU437549_00015	(+)	11380	12264	884	294	mecR1-Truncated
SCCmec_EU437549_00016	(+)	12224	12496	272	90	NN
SCCmec_EU437549_00017	(+)	12889	13962	1073	357	NN
SCCmec_EU437549_00018	(-)	14059	15567	1508	502	IS1272
SCCmec_EU437549_00019	(-)	15706	16215	509	169	NN
SCCmec_EU437549_00020	(-)	16227	16538	311	103	NN
SCCmec_EU437549_00021	(-)	16625	16975	350	116	NN
SCCmec_EU437549_00022	(-)	17497	19125	1628	542	ccrB2
SCCmec_EU437549_00023	(-)	19147	20514	1367	455	ccrA2
SCCmec_EU437549_00024	(-)	20730	22523	1793	597	NN
SCCmec_EU437549_00025	(-)	22523	22819	296	98	NN
SCCmec_EU437549_00026	(-)	23012	24058	1046	348	NN
SCCmec_EU437549_00027	(+)	24513	25667	1154	384	NN
SCCmec_EU437549_00028	(+)	25697	26497	800	266	NN
