Locus	Sense	Start	End	Size	Length	Gene
SCCmec_AB037671_Type-III_00001	(+)	1	480	479	159	orfX
SCCmec_AB037671_Type-III_00002	(+)	522	677	155	51	NN
SCCmec_AB037671_Type-III_00003	(+)	727	1032	305	101	NN
SCCmec_AB037671_Type-III_00004	(+)	1230	2093	863	287	NN
SCCmec_AB037671_Type-III_00005	(+)	2177	3676	1499	499	NN
SCCmec_AB037671_Type-III_00006	(+)	3903	5003	1100	366	NN
SCCmec_AB037671_Type-III_00007	(+)	4996	5367	371	123	NN
SCCmec_AB037671_Type-III_00008	(+)	5364	7007	1643	547	NN
SCCmec_AB037671_Type-III_00009	(+)	7232	8785	1553	517	ccrC
SCCmec_AB037671_Type-III_00010	(+)	9012	9353	341	113	NN
SCCmec_AB037671_Type-III_00011	(+)	9449	9760	311	103	NN
SCCmec_AB037671_Type-III_00012	(+)	9776	10282	506	168	NN
SCCmec_AB037671_Type-III_00013	(+)	10303	10620	317	105	NN
SCCmec_AB037671_Type-III_00014	(+)	10739	11824	1085	361	NN
SCCmec_AB037671_Type-III_00015	(+)	11821	13713	1892	630	NN
SCCmec_AB037671_Type-III_00016	(+)	13720	14097	377	125	NN
SCCmec_AB037671_Type-III_00017	(+)	14248	14772	524	174	NN
SCCmec_AB037671_Type-III_00018	(+)	14756	15031	275	91	NN
SCCmec_AB037671_Type-III_00019	(-)	15157	15888	731	243	NN
SCCmec_AB037671_Type-III_00020	(+)	16397	17059	662	220	NN
SCCmec_AB037671_Type-III_00021	(+)	17607	18479	872	290	NN
SCCmec_AB037671_Type-III_00022	(+)	18518	18826	308	102	NN
SCCmec_AB037671_Type-III_00023	(+)	18842	19330	488	162	NN
SCCmec_AB037671_Type-III_00024	(+)	19465	19992	527	175	NN
SCCmec_AB037671_Type-III_00025	(+)	20054	20497	443	147	NN
SCCmec_AB037671_Type-III_00026	(+)	20446	20667	221	73	NN
SCCmec_AB037671_Type-III_00027	(+)	20819	21007	188	62	NN
SCCmec_AB037671_Type-III_00028	(+)	21061	21384	323	107	NN
SCCmec_AB037671_Type-III_00029	(-)	21462	23651	2189	729	NN
SCCmec_AB037671_Type-III_00030	(-)	23737	24411	674	224	IS431
SCCmec_AB037671_Type-III_00031	(+)	24679	26040	1361	453	NN
SCCmec_AB037671_Type-III_00032	(+)	26340	26747	407	135	NN
SCCmec_AB037671_Type-III_00033	(+)	26764	27117	353	117	NN
SCCmec_AB037671_Type-III_00034	(+)	27114	27794	680	226	NN
SCCmec_AB037671_Type-III_00035	(+)	27932	28267	335	111	NN
SCCmec_AB037671_Type-III_00036	(+)	28325	29968	1643	547	NN
SCCmec_AB037671_Type-III_00037	(+)	30050	30700	650	216	NN
SCCmec_AB037671_Type-III_00038	(-)	30895	31437	542	180	NN
SCCmec_AB037671_Type-III_00039	(-)	31461	32135	674	224	IS431
SCCmec_AB037671_Type-III_00040	(-)	32567	32899	332	110	NN
SCCmec_AB037671_Type-III_00041	(-)	32928	33170	242	80	NN
SCCmec_AB037671_Type-III_00042	(-)	33302	33976	674	224	IS431
SCCmec_AB037671_Type-III_00043	(+)	34263	35060	797	265	NN
SCCmec_AB037671_Type-III_00044	(+)	35017	35553	536	178	NN
SCCmec_AB037671_Type-III_00045	(+)	35739	36980	1241	413	NN
SCCmec_AB037671_Type-III_00046	(+)	37166	37267	101	33	NN
SCCmec_AB037671_Type-III_00047	(+)	37507	38451	944	314	NN
