Locus	Sense	Start	End	Size	Length	Gene
SCCmec_AB512767_Type-V_00001	(+)	1	480	479	159	orfX
SCCmec_AB512767_Type-V_00002	(+)	522	677	155	51	NN
SCCmec_AB512767_Type-V_00003	(+)	726	1031	305	101	NN
SCCmec_AB512767_Type-V_00004	(+)	1230	2093	863	287	NN
SCCmec_AB512767_Type-V_00005	(+)	2177	3676	1499	499	NN
SCCmec_AB512767_Type-V_00006	(+)	3902	5002	1100	366	NN
SCCmec_AB512767_Type-V_00007	(+)	4995	5366	371	123	NN
SCCmec_AB512767_Type-V_00008	(+)	5363	7006	1643	547	NN
SCCmec_AB512767_Type-V_00009	(+)	7232	8908	1676	558	ccrC
SCCmec_AB512767_Type-V_00010	(+)	9014	9352	338	112	NN
SCCmec_AB512767_Type-V_00011	(+)	9448	9759	311	103	NN
SCCmec_AB512767_Type-V_00012	(+)	9775	10281	506	168	NN
SCCmec_AB512767_Type-V_00013	(-)	10430	11104	674	224	IS431
SCCmec_AB512767_Type-V_00014	(+)	11362	11529	167	55	NN
SCCmec_AB512767_Type-V_00015	(+)	11627	11857	230	76	NN
SCCmec_AB512767_Type-V_00016	(+)	12486	13229	743	247	NN
SCCmec_AB512767_Type-V_00017	(+)	13326	13754	428	142	NN
SCCmec_AB512767_Type-V_00018	(-)	13800	15806	2006	668	mecA
SCCmec_AB512767_Type-V_00019	(+)	16054	16197	143	47	NN
SCCmec_AB512767_Type-V_00020	(-)	16788	17216	428	142	NN
SCCmec_AB512767_Type-V_00021	(+)	17297	18226	929	309	NN
SCCmec_AB512767_Type-V_00022	(+)	18260	18358	98	32	NN
SCCmec_AB512767_Type-V_00023	(+)	18388	18870	482	160	NN
SCCmec_AB512767_Type-V_00024	(+)	18938	19252	314	104	NN
SCCmec_AB512767_Type-V_00025	(+)	19237	20079	842	280	NN
SCCmec_AB512767_Type-V_00026	(+)	20086	21651	1565	521	NN
SCCmec_AB512767_Type-V_00027	(+)	21846	22955	1109	369	NN
SCCmec_AB512767_Type-V_00028	(+)	22948	23316	368	122	NN
SCCmec_AB512767_Type-V_00029	(+)	23316	24932	1616	538	NN
SCCmec_AB512767_Type-V_00030	(+)	25157	26836	1679	559	ccrC
SCCmec_AB512767_Type-V_00031	(+)	26889	27263	374	124	NN
SCCmec_AB512767_Type-V_00032	(+)	27342	27668	326	108	NN
SCCmec_AB512767_Type-V_00033	(+)	27680	28186	506	168	NN
SCCmec_AB512767_Type-V_00034	(+)	28200	28421	221	73	NN
SCCmec_AB512767_Type-V_00035	(-)	28496	31615	3119	1039	NN
SCCmec_AB512767_Type-V_00036	(-)	31599	32900	1301	433	NN
SCCmec_AB512767_Type-V_00037	(-)	32890	34404	1514	504	NN
SCCmec_AB512767_Type-V_00038	(+)	34813	36909	2096	698	NN
SCCmec_AB512767_Type-V_00039	(+)	36911	38659	1748	582	NN
SCCmec_AB512767_Type-V_00040	(+)	38869	39051	182	60	NN
SCCmec_AB512767_Type-V_00041	(-)	39119	40543	1424	474	NN
SCCmec_AB512767_Type-V_00042	(+)	41488	41655	167	55	NN
