Locus	Sense	Start	End	Size	Length	Gene
SCCmec_NC_017349_Type-XI_00001	(+)	1	480	479	159	orfX
SCCmec_NC_017349_Type-XI_00002	(-)	796	1623	827	275	NN
SCCmec_NC_017349_Type-XI_00003	(-)	1741	3717	1976	658	mecC
SCCmec_NC_017349_Type-XI_00004	(+)	3881	5593	1712	570	mecR1
SCCmec_NC_017349_Type-XI_00005	(+)	5590	5964	374	124	MecI
SCCmec_NC_017349_Type-XI_00006	(-)	6038	6223	185	61	NN
SCCmec_NC_017349_Type-XI_00007	(-)	6220	6582	362	120	NN
SCCmec_NC_017349_Type-XI_00008	(-)	6542	7009	467	155	NN
SCCmec_NC_017349_Type-XI_00009	(-)	7026	7910	884	294	NN
SCCmec_NC_017349_Type-XI_00010	(-)	8080	8526	446	148	NN
SCCmec_NC_017349_Type-XI_00011	(-)	8547	9053	506	168	NN
SCCmec_NC_017349_Type-XI_00012	(-)	9069	9380	311	103	NN
SCCmec_NC_017349_Type-XI_00013	(-)	9373	9474	101	33	NN
SCCmec_NC_017349_Type-XI_00014	(-)	9476	9814	338	112	NN
SCCmec_NC_017349_Type-XI_00015	(-)	10289	11917	1628	542	ccrB3
SCCmec_NC_017349_Type-XI_00016	(-)	11938	13287	1349	449	ccrA1
SCCmec_NC_017349_Type-XI_00017	(-)	13465	13722	257	85	NN
SCCmec_NC_017349_Type-XI_00018	(-)	13790	15583	1793	597	NN
SCCmec_NC_017349_Type-XI_00019	(-)	15583	15876	293	97	NN
SCCmec_NC_017349_Type-XI_00020	(-)	16059	17063	1004	334	NN
SCCmec_NC_017349_Type-XI_00021	(+)	17226	19100	1874	624	NN
SCCmec_NC_017349_Type-XI_00022	(+)	19194	19973	779	259	NN
SCCmec_NC_017349_Type-XI_00023	(-)	20386	21387	1001	333	NN
SCCmec_NC_017349_Type-XI_00024	(-)	21639	22550	911	303	NN
SCCmec_NC_017349_Type-XI_00025	(+)	22843	24498	1655	551	NN
SCCmec_NC_017349_Type-XI_00026	(+)	24864	25913	1049	349	NN
SCCmec_NC_017349_Type-XI_00027	(+)	25931	26599	668	222	NN
SCCmec_NC_017349_Type-XI_00028	(-)	26740	27420	680	226	NN
SCCmec_NC_017349_Type-XI_00029	(-)	27748	28140	392	130	NN
SCCmec_NC_017349_Type-XI_00030	(-)	28158	29447	1289	429	NN
SCCmec_NC_017349_Type-XI_00031	(-)	29447	29767	320	106	NN
