Locus	Sense	Start	End	Size	Length	Gene
SCCmec_FJ670542_Type-VIII_00001	(+)	1	480	479	159	orfX
SCCmec_FJ670542_Type-VIII_00002	(+)	700	1956	1256	418	NN
SCCmec_FJ670542_Type-VIII_00003	(+)	2141	2242	101	33	NN
SCCmec_FJ670542_Type-VIII_00004	(+)	2371	2610	239	79	NN
SCCmec_FJ670542_Type-VIII_00005	(-)	2642	3316	674	224	IS431
SCCmec_FJ670542_Type-VIII_00006	(+)	3574	3741	167	55	NN
SCCmec_FJ670542_Type-VIII_00007	(+)	3839	4069	230	76	NN
SCCmec_FJ670542_Type-VIII_00008	(+)	4578	5321	743	247	NN
SCCmec_FJ670542_Type-VIII_00009	(+)	5418	5846	428	142	NN
SCCmec_FJ670542_Type-VIII_00010	(-)	5892	7898	2006	668	mecA
SCCmec_FJ670542_Type-VIII_00011	(+)	7998	9755	1757	585	mecR1
SCCmec_FJ670542_Type-VIII_00012	(+)	9755	9916	161	53	NN
SCCmec_FJ670542_Type-VIII_00013	(+)	9861	10127	266	88	MecI
SCCmec_FJ670542_Type-VIII_00014	(+)	10635	11744	1109	369	NN
SCCmec_FJ670542_Type-VIII_00015	(-)	11858	12118	260	86	NN
SCCmec_FJ670542_Type-VIII_00016	(-)	12254	13192	938	312	NN
SCCmec_FJ670542_Type-VIII_00017	(-)	13225	14289	1064	354	NN
SCCmec_FJ670542_Type-VIII_00018	(+)	14425	14685	260	86	NN
SCCmec_FJ670542_Type-VIII_00019	(+)	14700	15329	629	209	NN
SCCmec_FJ670542_Type-VIII_00020	(-)	15668	16330	662	220	NN
SCCmec_FJ670542_Type-VIII_00021	(+)	16864	17595	731	243	NN
SCCmec_FJ670542_Type-VIII_00022	(-)	17721	18503	782	260	NN
SCCmec_FJ670542_Type-VIII_00023	(-)	18654	19031	377	125	NN
SCCmec_FJ670542_Type-VIII_00024	(-)	19038	20930	1892	630	NN
SCCmec_FJ670542_Type-VIII_00025	(-)	20927	22012	1085	361	NN
SCCmec_FJ670542_Type-VIII_00026	(-)	22131	22448	317	105	NN
SCCmec_FJ670542_Type-VIII_00027	(-)	22469	22975	506	168	NN
SCCmec_FJ670542_Type-VIII_00028	(-)	22991	23302	311	103	NN
SCCmec_FJ670542_Type-VIII_00029	(-)	23304	23396	92	30	NN
SCCmec_FJ670542_Type-VIII_00030	(-)	23389	23739	350	116	NN
SCCmec_FJ670542_Type-VIII_00031	(-)	24240	25868	1628	542	ccrB4
SCCmec_FJ670542_Type-VIII_00032	(-)	25865	27226	1361	453	ccrA4
SCCmec_FJ670542_Type-VIII_00033	(-)	27413	28027	614	204	NN
SCCmec_FJ670542_Type-VIII_00034	(+)	28410	28553	143	47	NN
SCCmec_FJ670542_Type-VIII_00035	(-)	28501	28860	359	119	NN
SCCmec_FJ670542_Type-VIII_00036	(+)	29067	29393	326	108	NN
SCCmec_FJ670542_Type-VIII_00037	(+)	29496	29594	98	32	NN
SCCmec_FJ670542_Type-VIII_00038	(+)	29723	31648	1925	641	NN
