Locus	Sense	Start	End	Size	Length	Gene
SCCmec_AB373032_Type-VII_00001	(+)	1	480	479	159	orfX
SCCmec_AB373032_Type-VII_00002	(+)	522	677	155	51	NN
SCCmec_AB373032_Type-VII_00003	(+)	726	1031	305	101	NN
SCCmec_AB373032_Type-VII_00004	(+)	1229	2092	863	287	NN
SCCmec_AB373032_Type-VII_00005	(+)	2176	3675	1499	499	NN
SCCmec_AB373032_Type-VII_00006	(+)	3902	5002	1100	366	NN
SCCmec_AB373032_Type-VII_00007	(+)	4995	5366	371	123	NN
SCCmec_AB373032_Type-VII_00008	(+)	5363	7006	1643	547	NN
SCCmec_AB373032_Type-VII_00009	(+)	7231	8907	1676	558	ccrC
SCCmec_AB373032_Type-VII_00010	(+)	9010	9351	341	113	NN
SCCmec_AB373032_Type-VII_00011	(+)	9447	9758	311	103	NN
SCCmec_AB373032_Type-VII_00012	(+)	9774	10280	506	168	NN
SCCmec_AB373032_Type-VII_00013	(+)	10301	10747	446	148	NN
SCCmec_AB373032_Type-VII_00014	(+)	10917	11789	872	290	NN
SCCmec_AB373032_Type-VII_00015	(+)	11828	12136	308	102	NN
SCCmec_AB373032_Type-VII_00016	(+)	12152	12640	488	162	NN
SCCmec_AB373032_Type-VII_00017	(+)	12775	13302	527	175	NN
SCCmec_AB373032_Type-VII_00018	(+)	13364	13807	443	147	NN
SCCmec_AB373032_Type-VII_00019	(+)	13756	13977	221	73	NN
SCCmec_AB373032_Type-VII_00020	(+)	14129	14317	188	62	NN
SCCmec_AB373032_Type-VII_00021	(+)	14371	14694	323	107	NN
SCCmec_AB373032_Type-VII_00022	(-)	14772	16961	2189	729	NN
SCCmec_AB373032_Type-VII_00023	(-)	17047	17721	674	224	IS431
SCCmec_AB373032_Type-VII_00024	(+)	17979	18146	167	55	NN
SCCmec_AB373032_Type-VII_00025	(+)	18244	18474	230	76	NN
SCCmec_AB373032_Type-VII_00026	(+)	19023	19766	743	247	NN
SCCmec_AB373032_Type-VII_00027	(+)	19863	20291	428	142	NN
SCCmec_AB373032_Type-VII_00028	(-)	20337	22343	2006	668	mecA
SCCmec_AB373032_Type-VII_00029	(+)	22545	23441	896	298	mecR1-Truncated
SCCmec_AB373032_Type-VII_00030	(-)	23469	24143	674	224	IS431
SCCmec_AB373032_Type-VII_00031	(+)	24187	24741	554	184	NN
SCCmec_AB373032_Type-VII_00032	(+)	24865	24963	98	32	NN
SCCmec_AB373032_Type-VII_00033	(-)	25269	25805	536	178	NN
SCCmec_AB373032_Type-VII_00034	(-)	25839	26057	218	72	NN
SCCmec_AB373032_Type-VII_00035	(-)	26153	26431	278	92	NN
SCCmec_AB373032_Type-VII_00036	(-)	26400	26696	296	98	NN
SCCmec_AB373032_Type-VII_00037	(+)	27312	29177	1865	621	NN
SCCmec_AB373032_Type-VII_00038	(-)	29670	30317	647	215	NN
SCCmec_AB373032_Type-VII_00039	(-)	30338	31063	725	241	NN
SCCmec_AB373032_Type-VII_00040	(+)	31235	32209	974	324	NN
SCCmec_AB373032_Type-VII_00041	(+)	32202	32750	548	182	NN
