Locus	Sense	Start	End	Size	Length	Gene
SCCmec_CP000046_Type-I_00001	(+)	1	480	479	159	orfX
SCCmec_CP000046_Type-I_00002	(+)	700	1956	1256	418	NN
SCCmec_CP000046_Type-I_00003	(+)	2141	2242	101	33	NN
SCCmec_CP000046_Type-I_00004	(+)	2371	2610	239	79	NN
SCCmec_CP000046_Type-I_00005	(-)	2642	3316	674	224	IS431
SCCmec_CP000046_Type-I_00006	(+)	3574	3741	167	55	NN
SCCmec_CP000046_Type-I_00007	(+)	3839	4069	230	76	NN
SCCmec_CP000046_Type-I_00008	(+)	4618	5361	743	247	NN
SCCmec_CP000046_Type-I_00009	(+)	5458	5886	428	142	NN
SCCmec_CP000046_Type-I_00010	(-)	5932	7938	2006	668	mecA
SCCmec_CP000046_Type-I_00011	(+)	8038	9024	986	328	mecR1-Truncated
SCCmec_CP000046_Type-I_00012	(+)	8984	9256	272	90	NN
SCCmec_CP000046_Type-I_00013	(-)	9247	10770	1523	507	IS1272
SCCmec_CP000046_Type-I_00014	(-)	10906	11412	506	168	NN
SCCmec_CP000046_Type-I_00015	(-)	11427	11738	311	103	NN
SCCmec_CP000046_Type-I_00016	(-)	11825	12175	350	116	NN
SCCmec_CP000046_Type-I_00017	(-)	13114	14265	1151	383	ccrB1
SCCmec_CP000046_Type-I_00018	(-)	14287	15636	1349	449	ccrA1
SCCmec_CP000046_Type-I_00019	(-)	15824	17593	1769	589	NN
SCCmec_CP000046_Type-I_00020	(-)	17593	17889	296	98	NN
SCCmec_CP000046_Type-I_00021	(+)	18060	19637	1577	525	NN
SCCmec_CP000046_Type-I_00022	(-)	19717	21045	1328	442	NN
SCCmec_CP000046_Type-I_00023	(-)	21064	22131	1067	355	NN
SCCmec_CP000046_Type-I_00024	(+)	22270	22530	260	86	NN
SCCmec_CP000046_Type-I_00025	(+)	22527	23285	758	252	NN
SCCmec_CP000046_Type-I_00026	(+)	28232	29887	1655	551	NN
SCCmec_CP000046_Type-I_00027	(-)	30047	31558	1511	503	NN
SCCmec_CP000046_Type-I_00028	(-)	31581	32555	974	324	NN
SCCmec_CP000046_Type-I_00029	(-)	32581	33633	1052	350	NN
