Locus	Sense	Start	End	Size	Length	Gene
SCCmec_NC_007793_Type-IV_00001	(+)	1	480	479	159	orfX
SCCmec_NC_007793_Type-IV_00002	(+)	802	2058	1256	418	NN
SCCmec_NC_007793_Type-IV_00003	(-)	2166	2840	674	224	IS431
SCCmec_NC_007793_Type-IV_00004	(+)	3098	3265	167	55	NN
SCCmec_NC_007793_Type-IV_00005	(+)	3363	3593	230	76	NN
SCCmec_NC_007793_Type-IV_00006	(+)	4102	4845	743	247	NN
SCCmec_NC_007793_Type-IV_00007	(+)	4942	5370	428	142	NN
SCCmec_NC_007793_Type-IV_00008	(-)	5416	7422	2006	668	mecA
SCCmec_NC_007793_Type-IV_00009	(+)	7522	8508	986	328	mecR1-Truncated
SCCmec_NC_007793_Type-IV_00010	(+)	8468	8740	272	90	NN
SCCmec_NC_007793_Type-IV_00011	(-)	8731	10254	1523	507	IS1272
SCCmec_NC_007793_Type-IV_00012	(-)	10390	10896	506	168	NN
SCCmec_NC_007793_Type-IV_00013	(-)	10911	11222	311	103	NN
SCCmec_NC_007793_Type-IV_00014	(-)	11309	11659	350	116	NN
SCCmec_NC_007793_Type-IV_00015	(-)	12181	13809	1628	542	ccrB2
SCCmec_NC_007793_Type-IV_00016	(-)	13831	15180	1349	449	ccrA2
SCCmec_NC_007793_Type-IV_00017	(-)	15414	17201	1787	595	NN
SCCmec_NC_007793_Type-IV_00018	(-)	17201	17491	290	96	NN
SCCmec_NC_007793_Type-IV_00019	(+)	17588	18679	1091	363	NN
SCCmec_NC_007793_Type-IV_00020	(+)	19407	20897	1490	496	NN
SCCmec_NC_007793_Type-IV_00021	(-)	21521	22525	1004	334	NN
SCCmec_NC_007793_Type-IV_00022	(+)	22644	22781	137	45	NN
SCCmec_NC_007793_Type-IV_00023	(+)	22778	23149	371	123	NN
SCCmec_NC_007793_Type-IV_00024	(+)	23278	23898	620	206	NN
SCCmec_NC_007793_Type-IV_00025	(-)	24815	24985	170	56	NN
SCCmec_NC_007793_Type-IV_00026	(+)	25387	26352	965	321	NN
SCCmec_NC_007793_Type-IV_00027	(+)	26732	27061	329	109	NN
SCCmec_NC_007793_Type-IV_00028	(-)	27138	27497	359	119	NN
SCCmec_NC_007793_Type-IV_00029	(-)	28068	28877	809	269	NN
SCCmec_NC_007793_Type-IV_00030	(+)	28896	29078	182	60	NN
SCCmec_NC_007793_Type-IV_00031	(-)	29389	29886	497	165	NN
SCCmec_NC_007793_Type-IV_00032	(+)	30384	31511	1127	375	NN
SCCmec_NC_007793_Type-IV_00033	(-)	31766	31990	224	74	NN
SCCmec_NC_007793_Type-IV_00034	(-)	32004	32507	503	167	NN
SCCmec_NC_007793_Type-IV_00035	(-)	32523	32834	311	103	NN
SCCmec_NC_007793_Type-IV_00036	(-)	32836	32928	92	30	NN
SCCmec_NC_007793_Type-IV_00037	(-)	32921	33271	350	116	NN
SCCmec_NC_007793_Type-IV_00038	(+)	34228	35079	851	283	NN
SCCmec_NC_007793_Type-IV_00039	(-)	35179	36108	929	309	NN
SCCmec_NC_007793_Type-IV_00040	(-)	36128	37126	998	332	NN
SCCmec_NC_007793_Type-IV_00041	(-)	37164	37853	689	229	NN
SCCmec_NC_007793_Type-IV_00042	(-)	37895	39316	1421	473	NN
SCCmec_NC_007793_Type-IV_00043	(-)	39402	40637	1235	411	NN
SCCmec_NC_007793_Type-IV_00044	(-)	40906	41352	446	148	NN
SCCmec_NC_007793_Type-IV_00045	(+)	41854	42285	431	143	NN
SCCmec_NC_007793_Type-IV_00046	(+)	42558	42803	245	81	NN
SCCmec_NC_007793_Type-IV_00047	(+)	43419	44234	815	271	NN
SCCmec_NC_007793_Type-IV_00048	(+)	44661	45734	1073	357	NN
SCCmec_NC_007793_Type-IV_00049	(+)	45994	46686	692	230	NN
SCCmec_NC_007793_Type-IV_00050	(+)	46683	48236	1553	517	NN
SCCmec_NC_007793_Type-IV_00051	(+)	48239	49195	956	318	NN
SCCmec_NC_007793_Type-IV_00052	(+)	49195	49962	767	255	NN
SCCmec_NC_007793_Type-IV_00053	(+)	49929	50696	767	255	NN
SCCmec_NC_007793_Type-IV_00054	(+)	50689	51324	635	211	NN
SCCmec_NC_007793_Type-IV_00055	(+)	52284	54407	2123	707	NN
SCCmec_NC_007793_Type-IV_00056	(+)	54425	54970	545	181	NN
