Locus	Sense	Start	End	Size	Length	Gene
SCCmec_AB505628_Type-IX_00001	(+)	1	480	479	159	orfX
SCCmec_AB505628_Type-IX_00002	(+)	830	1741	911	303	NN
SCCmec_AB505628_Type-IX_00003	(+)	1831	5445	3614	1204	NN
SCCmec_AB505628_Type-IX_00004	(-)	5566	6255	689	229	NN
SCCmec_AB505628_Type-IX_00005	(-)	6456	6959	503	167	NN
SCCmec_AB505628_Type-IX_00006	(-)	6980	7291	311	103	NN
SCCmec_AB505628_Type-IX_00007	(-)	7294	7383	89	29	NN
SCCmec_AB505628_Type-IX_00008	(-)	7376	7726	350	116	NN
SCCmec_AB505628_Type-IX_00009	(-)	8296	9066	770	256	NN
SCCmec_AB505628_Type-IX_00010	(-)	9118	10743	1625	541	ccrB1
SCCmec_AB505628_Type-IX_00011	(-)	10765	12114	1349	449	ccrA1
SCCmec_AB505628_Type-IX_00012	(-)	12305	12583	278	92	NN
SCCmec_AB505628_Type-IX_00013	(-)	12653	13780	1127	375	NN
SCCmec_AB505628_Type-IX_00014	(-)	13803	14453	650	216	NN
SCCmec_AB505628_Type-IX_00015	(-)	14580	15965	1385	461	NN
SCCmec_AB505628_Type-IX_00016	(+)	16203	17387	1184	394	NN
SCCmec_AB505628_Type-IX_00017	(+)	17751	18668	917	305	NN
SCCmec_AB505628_Type-IX_00018	(-)	19069	19257	188	62	NN
SCCmec_AB505628_Type-IX_00019	(+)	19414	19713	299	99	NN
SCCmec_AB505628_Type-IX_00020	(-)	19840	19968	128	42	NN
SCCmec_AB505628_Type-IX_00021	(-)	19947	20564	617	205	IS431
SCCmec_AB505628_Type-IX_00022	(+)	20822	20989	167	55	NN
SCCmec_AB505628_Type-IX_00023	(+)	21087	21317	230	76	NN
SCCmec_AB505628_Type-IX_00024	(+)	21906	22649	743	247	NN
SCCmec_AB505628_Type-IX_00025	(+)	22746	23174	428	142	NN
SCCmec_AB505628_Type-IX_00026	(-)	23220	25226	2006	668	mecA
SCCmec_AB505628_Type-IX_00027	(+)	25474	26148	674	224	IS431
SCCmec_AB505628_Type-IX_00028	(-)	26657	27004	347	115	NN
SCCmec_AB505628_Type-IX_00029	(+)	27082	27765	683	227	NN
SCCmec_AB505628_Type-IX_00030	(+)	27787	28452	665	221	NN
SCCmec_AB505628_Type-IX_00031	(+)	28456	29460	1004	334	NN
SCCmec_AB505628_Type-IX_00032	(+)	29469	29834	365	121	NN
SCCmec_AB505628_Type-IX_00033	(+)	30370	30987	617	205	NN
SCCmec_AB505628_Type-IX_00034	(+)	31006	31347	341	113	NN
SCCmec_AB505628_Type-IX_00035	(-)	31367	31768	401	133	NN
SCCmec_AB505628_Type-IX_00036	(-)	31786	33075	1289	429	NN
SCCmec_AB505628_Type-IX_00037	(-)	33075	33392	317	105	NN
SCCmec_AB505628_Type-IX_00038	(+)	33645	35708	2063	687	NN
SCCmec_AB505628_Type-IX_00039	(+)	35723	37156	1433	477	NN
SCCmec_AB505628_Type-IX_00040	(+)	37176	37658	482	160	NN
SCCmec_AB505628_Type-IX_00041	(-)	37864	38259	395	131	NN
SCCmec_AB505628_Type-IX_00042	(-)	38278	39570	1292	430	NN
SCCmec_AB505628_Type-IX_00043	(-)	39570	39884	314	104	NN
SCCmec_AB505628_Type-IX_00044	(-)	40024	41769	1745	581	NN
SCCmec_AB505628_Type-IX_00045	(-)	41735	42082	347	115	NN
SCCmec_AB505628_Type-IX_00046	(+)	42289	42489	200	66	NN
SCCmec_AB505628_Type-IX_00047	(+)	42522	42842	320	106	NN
SCCmec_AB505628_Type-IX_00048	(+)	42930	43814	884	294	NN
SCCmec_AB505628_Type-IX_00049	(+)	43828	43956	128	42	NN
