Locus	Sense	Start	End	Size	Length	Gene
SCCmec_AF411935_Type-VI_00001	(+)	1	342	341	113	orfX
SCCmec_AF411935_Type-VI_00002	(+)	625	1920	1295	431	NN
SCCmec_AF411935_Type-VI_00003	(-)	2365	3039	674	224	IS431
SCCmec_AF411935_Type-VI_00004	(+)	3297	3464	167	55	NN
SCCmec_AF411935_Type-VI_00005	(+)	3562	3792	230	76	NN
SCCmec_AF411935_Type-VI_00006	(+)	4341	5084	743	247	NN
SCCmec_AF411935_Type-VI_00007	(+)	5181	5609	428	142	NN
SCCmec_AF411935_Type-VI_00008	(-)	5655	7661	2006	668	mecA
SCCmec_AF411935_Type-VI_00009	(+)	7863	8747	884	294	mecR1-Truncated
SCCmec_AF411935_Type-VI_00010	(+)	8707	8979	272	90	NN
SCCmec_AF411935_Type-VI_00011	(-)	8970	10490	1520	506	IS1272
SCCmec_AF411935_Type-VI_00012	(-)	10629	11135	506	168	NN
SCCmec_AF411935_Type-VI_00013	(-)	11151	11462	311	103	NN
SCCmec_AF411935_Type-VI_00014	(-)	11464	11562	98	32	NN
SCCmec_AF411935_Type-VI_00015	(-)	11549	11899	350	116	NN
SCCmec_AF411935_Type-VI_00016	(-)	12398	12655	257	85	NN
SCCmec_AF411935_Type-VI_00017	(-)	12697	14025	1328	442	ccrB4
SCCmec_AF411935_Type-VI_00018	(-)	14022	15383	1361	453	ccrA4
SCCmec_AF411935_Type-VI_00019	(-)	15584	17365	1781	593	NN
SCCmec_AF411935_Type-VI_00020	(-)	17365	17688	323	107	NN
SCCmec_AF411935_Type-VI_00021	(-)	17880	19349	1469	489	NN
SCCmec_AF411935_Type-VI_00022	(+)	19495	20199	704	234	NN
SCCmec_AF411935_Type-VI_00023	(+)	20223	21065	842	280	NN
SCCmec_AF411935_Type-VI_00024	(+)	21354	21818	464	154	NN
SCCmec_AF411935_Type-VI_00025	(+)	22389	23042	653	217	NN
